	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
121	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	0	0.0027778502592606946	719524.7004802859	721529.0	0.9103482923330112	703072	772311	0.8444188215345485	0.9050826621447122	248998	266886.249999922	294875
122	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	1	0.002765697332134165	719214.3541927887	721209.0	0.9103039269155584	702690	771929	0.8434319626960577	0.9045632330080708	248707	266733.08333325485	294875
123	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	2	0.0027397994349562804	718723.4320268256	720698.0	0.9102669609427548	702372	771611	0.8426994489190335	0.9041407376004106	248491	266608.49999992107	294875
124	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	3	0.0026867150180093224	717031.3513105069	718963.0	0.9101378062613724	701263	770502	0.8400712166172107	0.9026935142006602	247716	266181.7499999197	294875
125	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	4	0.002588735342838877	714618.2410227101	716473.0	0.9098158126788504	698512	767751	0.8341359360269132	0.8991086023179783	245965	265123.74999991147	294874
126	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	5	0.0024748488975204768	710646.8928969173	712410.0	0.9094122834217112	695092	764331	0.8260775196953203	0.8946383736845347	243583	263799.3333332377	294867
127	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	6	0.002291577648135257	704422.0545173106	706040.0	0.9086808518495559	688970	758209	0.81124959725967	0.8866564356487974	239201	261435.0833332261	294855
128	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	7	0.0020107913359306284	692467.7862912772	693863.0	0.9072739569173904	677466	746705	0.7837125529143601	0.8717570168055174	231051	257007.91666653546	294816
129	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	8	0.0016731726658496535	670041.0267408977	671164.0	0.9045772964003732	656364	725603	0.7304944327966292	0.8443467384981017	215322	248881.33333317746	294762
130	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	9	0.0012916304179588778	628935.5970359208	629749.0	0.8996323859831211	620615	689854	0.6362757010297382	0.7981268539693414	187471	235158.4999998188	294638
131	pandora_nanopore_withdenovo_b19d26	100x	0	0.0	0.8	10	0.0009041950398653852	554657.0279858634	555159.0	0.8918551237576983	571004	640243	0.4968518858120912	0.7336453147315385	146304	216030.66666647827	294462
132	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	0	0.0023560819076858808	711096.6413621673	712776.0	0.9076654352974384	701000	772311	0.8388096651123358	0.9023117140028298	247344	266069.16666658444	294875
133	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	1	0.0023486407554689226	710819.6099022138	712493.0	0.9076209389602028	700628	771939	0.8378465451462485	0.9018052847248852	247060	265919.8333332505	294875
134	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	2	0.0023324920177736352	710382.1653861884	712043.0	0.907584544506146	700324	771635	0.8371479440440864	0.9014014412883994	246854	265800.7499999168	294875
135	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	3	0.002283045851155685	708747.1950017605	710369.0	0.9074528543080994	699226	770537	0.8345468418821534	0.8999694785923371	246087	265378.49999991537	294875
136	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	4	0.002207367862732234	706541.95177956	708105.0	0.907124521205033	696502	767813	0.8286793681368991	0.8964218615405473	244356	264331.49999990733	294874
137	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	5	0.002118175957430801	702761.2682274515	704253.0	0.9067147192716236	693129	764440	0.8207429112108171	0.8920114831429097	242010	263024.74999990035	294867
138	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	6	0.0019758740603768032	697121.8480170787	698502.0	0.9059895088347002	687232	758543	0.8065286327177765	0.8843434343430586	237809	260753.0833332225	294855
139	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	7	0.0017827590482484281	686517.9181611214	687744.0	0.904587138778208	676083	747394	0.7799474926733962	0.8699089714710186	229941	256463.08333319984	294816
140	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	8	0.001559401066440036	666426.1512483865	667467.0	0.9019058689207872	655654	726965	0.7285029956371581	0.8433832493102096	214735	248597.333333176	294762
141	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	9	0.0012441451439331175	627688.0921013922	628470.0	0.8969154576941536	620461	691772	0.6358323236231456	0.7979222031021648	187341	235098.9999998187	294639
142	pandora_nanopore_withdenovo_b19d26	100x	5	0.0	0.8	10	0.0009092588824186619	554650.2203851307	555155.0	0.8889781493503967	571004	642315	0.4968501984969249	0.7336428232629508	146304	216030.66666647827	294463
143	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	0	0.002468402046780116	712412.1289682408	714175.0	0.9086753911312928	701780	772311	0.8410479016532428	0.9033935283309384	248004	266388.16666658537	294875
144	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	1	0.002458891198506841	712118.661504557	713874.0	0.908630197854984	701398	771929	0.8400678253497245	0.9028735339830488	247715	266234.8333332516	294875
