sample_id,tool,coverage,reference,vcf
CFT073,pandora_nanopore_no_denovo,100x,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_no_denovo/pandora_multisample.vcf_ref.fa,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_no_denovo/pandora_multisample_genotyped.vcf
CFT073,pandora_nanopore_with_denovo,100x,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_with_denovo/pandora_multisample.vcf_ref.fa,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_with_denovo/pandora_multisample_genotyped.vcf
CFT073,snippy_CP010116.1,all,cluster/snippy/snippy_CFT073_CP010116.1.ref.fa,cluster/snippy/snippy_CFT073_CP010116.1.vcf
CFT073,snippy_CP013185.1,all,cluster/snippy/snippy_CFT073_CP013185.1.ref.fa,cluster/snippy/snippy_CFT073_CP013185.1.vcf
H131800734,pandora_nanopore_no_denovo,100x,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_no_denovo/pandora_multisample.vcf_ref.fa,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_no_denovo/pandora_multisample_genotyped.vcf
H131800734,pandora_nanopore_with_denovo,100x,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_with_denovo/pandora_multisample.vcf_ref.fa,cluster/pandora/hps/nobackup/research/zi/projects/pandora_paper_leandro/analysis_random_subsampling/nanopore/100x/random/compare_with_denovo/pandora_multisample_genotyped.vcf
H131800734,snippy_CP010116.1,all,cluster/snippy/snippy_H131800734_CP010116.1.ref.fa,cluster/snippy/snippy_H131800734_CP010116.1.vcf
H131800734,snippy_CP013185.1,all,cluster/snippy/snippy_H131800734_CP013185.1.ref.fa,cluster/snippy/snippy_H131800734_CP013185.1.vcf
